"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
"25997",56,"management","married","tertiary","no",3610,"yes","no","cellular",19,"nov",162,4,-1,0,"unknown","no"
"274",56,"entrepreneur","divorced","secondary","no",155,"no","no","unknown",5,"may",118,3,-1,0,"unknown","no"
"5893",31,"services","married","secondary","no",-68,"yes","no","unknown",26,"may",293,4,-1,0,"unknown","no"
"18392",40,"blue-collar","married","secondary","no",4853,"no","no","cellular",31,"jul",234,2,-1,0,"unknown","no"
"305",53,"services","married","unknown","no",257,"yes","no","unknown",5,"may",209,2,-1,0,"unknown","no"
"39945",34,"admin.","single","secondary","no",0,"yes","no","cellular",2,"jun",189,2,-1,0,"unknown","no"
"34096",46,"management","married","tertiary","no",699,"no","no","cellular",30,"apr",970,1,87,1,"failure","yes"
"30944",28,"admin.","single","tertiary","no",164,"yes","no","cellular",9,"feb",92,7,-1,0,"unknown","no"
"10342",36,"blue-collar","married","primary","no",398,"yes","no","unknown",12,"jun",278,1,-1,0,"unknown","no"
"12565",33,"services","married","secondary","no",114,"no","yes","unknown",3,"jul",676,1,-1,0,"unknown","yes"
"43716",26,"services","married","secondary","no",104,"no","no","unknown",14,"may",7,1,-1,0,"unknown","no"
"38089",32,"student","married","tertiary","no",744,"yes","no","cellular",14,"may",506,2,352,1,"other","no"
"19804",47,"technician","divorced","secondary","no",84,"no","no","cellular",8,"aug",49,2,-1,0,"unknown","no"
"28029",30,"blue-collar","married","secondary","no",6,"yes","no","cellular",28,"jan",241,3,-1,0,"unknown","no"
"95",57,"entrepreneur","divorced","secondary","no",-37,"no","no","unknown",5,"may",173,1,-1,0,"unknown","no"
"228",33,"management","single","tertiary","no",34,"yes","no","unknown",5,"may",27,1,-1,0,"unknown","no"
"1140",56,"management","married","primary","no",93,"yes","no","unknown",7,"may",282,2,-1,0,"unknown","no"
"22320",44,"management","married","tertiary","no",38,"no","no","cellular",22,"aug",98,5,-1,0,"unknown","no"
"27729",28,"admin.","single","secondary","no",6100,"no","no","unknown",27,"dec",333,1,-1,0,"unknown","no"
"44142",31,"management","single","tertiary","no",2907,"yes","no","cellular",12,"jul",248,1,194,3,"failure","yes"
"11708",51,"retired","married","secondary","no",806,"no","no","unknown",20,"jun",32,1,-1,0,"unknown","no"
"27270",45,"technician","married","tertiary","no",-525,"no","yes","cellular",21,"nov",980,2,-1,0,"unknown","yes"
"28771",32,"blue-collar","single","secondary","no",604,"no","no","cellular",30,"jan",410,2,196,2,"other","no"
"30819",38,"blue-collar","single","primary","no",2198,"no","no","cellular",9,"feb",269,2,-1,0,"unknown","no"
"40785",37,"admin.","married","tertiary","no",1995,"yes","no","cellular",11,"aug",48,2,-1,0,"unknown","no"
"36236",29,"services","single","secondary","no",31,"yes","no","cellular",11,"may",82,1,369,3,"other","no"
"12010",45,"management","married","tertiary","no",655,"no","no","unknown",20,"jun",693,3,-1,0,"unknown","yes"
"21621",43,"management","single","tertiary","no",483,"no","no","cellular",19,"aug",950,6,-1,0,"unknown","yes"
"38103",30,"services","married","secondary","no",637,"yes","no","cellular",15,"may",69,5,-1,0,"unknown","no"
"37358",35,"management","single","tertiary","no",1396,"yes","no","cellular",13,"may",809,1,300,1,"failure","yes"
"44430",42,"management","married","tertiary","no",372,"yes","no","cellular",4,"aug",153,3,1,2,"success","yes"
"25417",31,"admin.","married","secondary","no",3584,"yes","yes","cellular",18,"nov",467,1,-1,0,"unknown","no"
"21937",46,"blue-collar","married","secondary","no",15,"yes","yes","cellular",20,"aug",76,3,-1,0,"unknown","no"
"41438",31,"technician","single","tertiary","no",882,"no","no","cellular",4,"sep",293,1,93,1,"success","yes"
"2487",45,"entrepreneur","divorced","tertiary","no",-395,"yes","no","unknown",13,"may",470,1,-1,0,"unknown","yes"
"10791",37,"blue-collar","married","secondary","no",426,"no","no","unknown",17,"jun",285,1,-1,0,"unknown","no"
"33724",45,"management","married","tertiary","no",212,"no","no","cellular",21,"apr",65,2,-1,0,"unknown","yes"
"4874",31,"blue-collar","married","secondary","no",435,"yes","no","unknown",21,"may",204,1,-1,0,"unknown","no"
"41918",27,"student","single","tertiary","no",1134,"no","no","cellular",21,"oct",825,1,183,4,"success","yes"
"40690",56,"management","divorced","tertiary","no",10532,"no","no","cellular",7,"aug",324,1,-1,0,"unknown","yes"
"20815",58,"retired","married","tertiary","no",0,"no","no","cellular",13,"aug",641,4,-1,0,"unknown","yes"
"455",34,"blue-collar","married","secondary","no",270,"yes","yes","unknown",6,"may",159,1,-1,0,"unknown","no"
"24555",58,"unknown","divorced","secondary","no",3111,"yes","no","cellular",17,"nov",111,1,188,2,"failure","no"
"16670",35,"management","single","tertiary","no",945,"yes","no","cellular",24,"jul",188,1,-1,0,"unknown","no"
"6421",29,"management","single","secondary","no",0,"yes","yes","unknown",27,"may",92,2,-1,0,"unknown","no"
"7246",33,"technician","married","secondary","no",2099,"yes","yes","unknown",29,"may",42,3,-1,0,"unknown","no"
"43620",64,"management","married","unknown","no",2352,"no","no","cellular",4,"may",153,2,182,11,"success","yes"
"23323",30,"technician","single","secondary","no",194,"no","yes","cellular",27,"aug",60,3,-1,0,"unknown","no"
"26349",49,"entrepreneur","married","tertiary","no",893,"no","no","cellular",20,"nov",74,1,-1,0,"unknown","no"
"29056",31,"services","single","secondary","no",469,"no","yes","cellular",2,"feb",111,1,-1,0,"unknown","no"
"7124",35,"admin.","married","secondary","no",404,"yes","no","unknown",29,"may",539,1,-1,0,"unknown","yes"
"7109",36,"technician","single","unknown","no",0,"yes","no","unknown",29,"may",148,1,-1,0,"unknown","no"
"28727",27,"unemployed","single","secondary","no",92,"yes","no","cellular",30,"jan",274,4,-1,0,"unknown","no"
"30208",41,"blue-collar","married","primary","no",438,"no","no","cellular",5,"feb",46,1,-1,0,"unknown","no"
"27735",53,"unknown","married","unknown","no",13,"no","no","telephone",28,"jan",69,1,-1,0,"unknown","no"
"5575",32,"admin.","single","secondary","no",1581,"no","no","unknown",23,"may",331,3,-1,0,"unknown","no"
"28362",55,"blue-collar","married","primary","no",119,"no","no","cellular",29,"jan",118,1,-1,0,"unknown","no"
"33770",45,"unemployed","married","secondary","no",383,"no","no","cellular",23,"apr",293,1,-1,0,"unknown","no"
"43575",55,"technician","married","tertiary","no",1320,"no","no","cellular",28,"apr",387,2,-1,0,"unknown","yes"
"32425",54,"technician","married","secondary","no",3994,"no","yes","cellular",16,"apr",299,2,-1,0,"unknown","yes"
"4084",50,"blue-collar","divorced","secondary","no",2402,"yes","no","unknown",19,"may",219,1,-1,0,"unknown","no"
"25508",37,"services","married","secondary","no",345,"yes","yes","cellular",19,"nov",204,1,-1,0,"unknown","no"
"44514",24,"student","single","secondary","no",1925,"no","no","cellular",11,"aug",1363,1,-1,0,"unknown","yes"
"16425",53,"technician","divorced","secondary","no",2156,"yes","no","cellular",23,"jul",671,4,-1,0,"unknown","no"
"9182",39,"unknown","single","secondary","no",914,"no","no","unknown",5,"jun",20,1,-1,0,"unknown","no"
"458",37,"technician","married","secondary","no",1,"yes","no","unknown",6,"may",608,1,-1,0,"unknown","yes"
"12348",28,"admin.","single","secondary","no",-7,"no","yes","unknown",26,"jun",3183,2,-1,0,"unknown","yes"
"12065",40,"retired","single","secondary","no",1400,"no","no","unknown",20,"jun",20,7,-1,0,"unknown","no"
"35272",27,"technician","single","secondary","no",905,"yes","yes","cellular",7,"may",245,1,-1,0,"unknown","no"
"43057",28,"admin.","married","tertiary","no",167,"yes","yes","cellular",18,"feb",126,2,-1,0,"unknown","no"
"8256",33,"admin.","married","secondary","no",471,"yes","no","unknown",2,"jun",214,2,-1,0,"unknown","no"
"6445",27,"admin.","married","secondary","no",186,"yes","no","unknown",27,"may",136,2,-1,0,"unknown","no"
"22841",53,"technician","single","secondary","no",925,"no","no","cellular",25,"aug",930,3,-1,0,"unknown","yes"
"23157",44,"technician","married","secondary","no",7863,"no","no","cellular",26,"aug",59,6,-1,0,"unknown","no"
"24285",41,"management","married","tertiary","no",1272,"yes","no","cellular",17,"nov",214,1,-1,0,"unknown","no"
"34751",40,"blue-collar","married","primary","no",-234,"yes","no","cellular",6,"may",275,1,-1,0,"unknown","no"
"44070",26,"blue-collar","single","secondary","no",463,"no","yes","cellular",2,"jul",248,2,-1,0,"unknown","yes"
"36984",46,"entrepreneur","single","tertiary","no",1410,"yes","no","telephone",13,"may",91,5,175,9,"failure","no"
"35166",31,"blue-collar","married","secondary","no",990,"yes","yes","cellular",7,"may",92,1,-1,0,"unknown","no"
"9266",35,"blue-collar","married","secondary","no",860,"yes","no","unknown",5,"jun",884,4,-1,0,"unknown","yes"
"2811",30,"management","single","tertiary","no",1130,"yes","no","unknown",14,"may",138,3,-1,0,"unknown","no"
"10762",55,"blue-collar","married","primary","no",2896,"no","no","unknown",17,"jun",138,3,-1,0,"unknown","no"
"37044",54,"technician","married","secondary","no",324,"yes","no","telephone",13,"may",51,1,-1,0,"unknown","no"
"45157",37,"management","married","tertiary","no",3556,"no","no","cellular",9,"nov",268,1,-1,0,"unknown","yes"
"21177",50,"management","single","tertiary","no",1200,"no","no","cellular",14,"aug",904,3,-1,0,"unknown","yes"
"1178",52,"blue-collar","married","secondary","no",46,"yes","no","unknown",8,"may",132,1,-1,0,"unknown","no"
"9775",49,"management","divorced","secondary","no",-46,"yes","no","unknown",9,"jun",1055,10,-1,0,"unknown","yes"
"42818",45,"management","single","tertiary","no",4831,"no","no","cellular",29,"jan",479,11,-1,0,"unknown","yes"
"4516",56,"entrepreneur","married","tertiary","no",8741,"yes","no","unknown",20,"may",318,3,-1,0,"unknown","no"
"9320",35,"housemaid","single","secondary","no",1015,"yes","no","unknown",5,"jun",406,2,-1,0,"unknown","yes"
"34497",35,"admin.","married","secondary","no",561,"yes","no","cellular",5,"may",168,2,-1,0,"unknown","no"
"44492",66,"management","married","tertiary","no",6251,"no","no","cellular",10,"aug",273,2,356,10,"other","no"
"21821",30,"technician","married","secondary","no",26,"no","no","cellular",20,"aug",55,2,-1,0,"unknown","no"
"27716",23,"unemployed","single","primary","no",1003,"no","no","telephone",27,"nov",8,1,-1,0,"unknown","yes"
"44141",36,"management","married","tertiary","no",93,"no","no","cellular",12,"jul",262,2,182,7,"failure","yes"
"42865",68,"retired","married","tertiary","no",2812,"no","no","cellular",3,"feb",279,2,181,1,"failure","yes"
"2505",59,"retired","married","tertiary","no",-892,"yes","no","unknown",13,"may",129,1,-1,0,"unknown","no"
"28264",36,"blue-collar","married","secondary","no",-557,"yes","yes","cellular",29,"jan",484,1,253,1,"failure","no"
"8308",28,"admin.","single","tertiary","no",1540,"yes","no","unknown",2,"jun",442,11,-1,0,"unknown","no"
"45184",70,"retired","married","primary","no",324,"no","no","cellular",15,"nov",78,1,96,7,"success","no"
"38190",28,"blue-collar","married","secondary","no",1325,"yes","no","cellular",15,"may",242,1,-1,0,"unknown","no"
"21778",56,"housemaid","married","primary","no",605,"no","no","cellular",19,"aug",207,6,-1,0,"unknown","no"
"33975",56,"management","married","tertiary","no",616,"no","no","cellular",30,"apr",225,1,83,1,"success","yes"
"37521",52,"entrepreneur","married","secondary","no",3332,"yes","yes","cellular",13,"may",182,4,-1,0,"unknown","no"
"27178",31,"management","married","tertiary","no",4148,"yes","no","cellular",21,"nov",316,3,99,9,"other","yes"
"16145",29,"blue-collar","single","secondary","no",0,"no","no","cellular",22,"jul",55,3,-1,0,"unknown","no"
"34033",28,"technician","single","secondary","no",227,"no","no","cellular",30,"apr",278,1,-1,0,"unknown","yes"
"11155",58,"unknown","married","unknown","no",219,"no","no","unknown",18,"jun",55,1,-1,0,"unknown","no"
"22288",34,"management","married","secondary","no",355,"no","no","cellular",21,"aug",314,3,-1,0,"unknown","no"
"26696",56,"blue-collar","divorced","primary","no",285,"no","yes","cellular",20,"nov",73,1,-1,0,"unknown","no"
"43778",52,"admin.","single","secondary","no",726,"yes","no","cellular",24,"may",699,1,378,9,"failure","yes"
"16421",32,"blue-collar","married","secondary","no",476,"yes","no","cellular",23,"jul",956,9,-1,0,"unknown","yes"
"15860",41,"services","married","secondary","no",6687,"yes","no","cellular",21,"jul",91,3,-1,0,"unknown","no"
"6274",36,"services","single","secondary","yes",-455,"no","no","unknown",27,"may",124,1,-1,0,"unknown","no"
"26208",30,"management","married","tertiary","no",196,"no","no","cellular",20,"nov",68,1,101,4,"other","no"
"4033",44,"blue-collar","married","primary","no",75,"no","no","unknown",16,"may",107,3,-1,0,"unknown","no"
"22172",57,"blue-collar","married","secondary","no",2887,"no","no","cellular",21,"aug",819,10,-1,0,"unknown","yes"
"12021",39,"technician","married","secondary","no",2765,"yes","yes","unknown",20,"jun",116,3,-1,0,"unknown","no"
"5336",32,"blue-collar","married","secondary","no",2549,"yes","no","unknown",23,"may",246,3,-1,0,"unknown","no"
"42287",33,"management","married","tertiary","no",271,"yes","no","cellular",13,"nov",182,2,91,2,"success","yes"
"7503",36,"blue-collar","married","primary","yes",-1168,"yes","no","unknown",29,"may",216,7,-1,0,"unknown","no"
"19961",41,"management","married","tertiary","no",3353,"no","no","cellular",8,"aug",51,2,-1,0,"unknown","no"
"26712",42,"blue-collar","married","secondary","no",3396,"yes","yes","telephone",20,"nov",93,4,-1,0,"unknown","no"
"18002",44,"unemployed","single","primary","yes",-4,"no","yes","cellular",30,"jul",788,2,-1,0,"unknown","yes"
"42398",36,"admin.","divorced","tertiary","no",4708,"no","no","cellular",3,"dec",284,1,171,1,"failure","yes"
"28511",45,"self-employed","married","tertiary","no",125,"no","no","cellular",29,"jan",304,2,-1,0,"unknown","no"
"19160",49,"admin.","married","secondary","no",381,"no","no","cellular",5,"aug",504,2,-1,0,"unknown","no"
"18737",48,"admin.","married","primary","no",3644,"yes","yes","telephone",31,"jul",1039,9,-1,0,"unknown","yes"
"35029",34,"admin.","married","secondary","no",-429,"yes","no","cellular",6,"may",320,1,-1,0,"unknown","no"
"21249",55,"self-employed","married","secondary","no",2678,"no","yes","cellular",18,"aug",151,12,-1,0,"unknown","no"
"25240",54,"self-employed","married","tertiary","no",368,"no","no","cellular",18,"nov",74,2,110,4,"failure","no"
"43037",49,"services","married","primary","no",1830,"yes","no","cellular",15,"feb",136,1,-1,0,"unknown","yes"
"38905",29,"management","single","tertiary","no",4210,"yes","no","cellular",18,"may",119,1,-1,0,"unknown","no"
"24060",30,"blue-collar","married","secondary","no",1664,"yes","no","telephone",20,"oct",2016,1,-1,0,"unknown","yes"
"9835",43,"technician","single","secondary","no",1462,"no","no","unknown",9,"jun",75,2,-1,0,"unknown","no"
"20604",49,"blue-collar","married","primary","no",128,"no","no","cellular",12,"aug",696,2,-1,0,"unknown","yes"
"4388",38,"management","single","tertiary","no",690,"yes","no","unknown",20,"may",34,1,-1,0,"unknown","no"
"9583",40,"admin.","married","secondary","no",2199,"no","no","unknown",6,"jun",38,3,-1,0,"unknown","no"
"31764",42,"technician","married","secondary","no",233,"no","no","cellular",8,"apr",98,1,231,4,"failure","no"
"8822",29,"services","single","secondary","no",32,"yes","no","unknown",4,"jun",563,1,-1,0,"unknown","yes"
"44058",63,"retired","married","secondary","no",2896,"no","no","cellular",1,"jul",304,1,119,2,"success","yes"
"14425",45,"technician","single","secondary","no",1196,"yes","no","cellular",14,"jul",108,6,-1,0,"unknown","no"
"31349",36,"entrepreneur","divorced","tertiary","no",3407,"no","no","cellular",16,"mar",392,4,-1,0,"unknown","yes"
"43722",29,"unemployed","single","primary","no",1374,"no","no","cellular",14,"may",1205,2,178,7,"success","yes"
"2878",30,"blue-collar","married","secondary","no",938,"yes","no","unknown",14,"may",159,1,-1,0,"unknown","no"
"44368",34,"management","single","tertiary","no",275,"no","no","cellular",2,"aug",196,2,455,23,"other","yes"
"10989",34,"technician","single","secondary","no",-269,"yes","no","unknown",17,"jun",102,3,-1,0,"unknown","no"
"7556",40,"technician","single","secondary","no",5637,"yes","no","unknown",30,"may",553,3,-1,0,"unknown","yes"
"23754",30,"management","single","tertiary","no",0,"no","no","cellular",28,"aug",62,7,-1,0,"unknown","no"
"40487",63,"retired","married","secondary","no",18016,"no","no","cellular",7,"jul",371,1,-1,0,"unknown","yes"
"42857",37,"technician","single","secondary","no",265,"yes","yes","cellular",3,"feb",140,1,366,2,"failure","yes"
"45102",74,"retired","married","secondary","no",935,"no","no","cellular",25,"oct",400,1,173,3,"success","yes"
"13175",33,"entrepreneur","divorced","tertiary","no",37,"no","yes","cellular",8,"jul",1082,1,-1,0,"unknown","yes"
"33197",38,"services","married","secondary","no",797,"yes","no","cellular",20,"apr",62,4,-1,0,"unknown","no"
"31876",55,"admin.","married","unknown","no",2038,"no","no","cellular",9,"apr",394,1,-1,0,"unknown","yes"
"43377",28,"admin.","single","tertiary","no",832,"no","no","telephone",29,"mar",433,3,342,1,"failure","yes"
"13233",51,"services","single","unknown","no",415,"no","no","cellular",8,"jul",210,2,-1,0,"unknown","no"
"357",44,"blue-collar","single","secondary","no",34,"yes","no","unknown",5,"may",404,4,-1,0,"unknown","no"
"7129",44,"blue-collar","married","secondary","no",72,"yes","no","unknown",29,"may",456,1,-1,0,"unknown","no"
"42756",39,"admin.","married","secondary","no",0,"no","no","cellular",27,"jan",366,1,436,10,"failure","yes"
"31183",30,"management","single","tertiary","no",617,"no","no","cellular",27,"feb",192,2,-1,0,"unknown","yes"
"16056",50,"admin.","divorced","secondary","no",175,"no","no","cellular",22,"jul",112,3,-1,0,"unknown","no"
"34158",50,"admin.","single","secondary","no",2252,"no","no","cellular",30,"apr",652,2,-1,0,"unknown","yes"
"14394",57,"retired","married","secondary","no",107,"no","no","cellular",14,"jul",85,2,-1,0,"unknown","no"
"43243",51,"admin.","married","tertiary","no",0,"yes","yes","cellular",8,"mar",124,2,-1,0,"unknown","yes"
"31333",64,"retired","married","unknown","no",2923,"no","no","cellular",12,"mar",120,1,-1,0,"unknown","no"
"44475",47,"management","married","tertiary","no",2306,"no","no","telephone",6,"aug",239,4,-1,0,"unknown","yes"
"43147",56,"management","married","unknown","no",4623,"no","no","cellular",25,"feb",305,1,192,1,"success","yes"
"7716",35,"technician","single","tertiary","no",391,"yes","no","unknown",30,"may",47,8,-1,0,"unknown","no"
"35829",37,"retired","married","secondary","no",71,"no","yes","cellular",8,"may",254,1,-1,0,"unknown","no"
"40617",49,"management","divorced","tertiary","no",914,"no","no","cellular",4,"aug",185,1,-1,0,"unknown","yes"
"33477",44,"blue-collar","married","primary","no",135,"yes","no","cellular",20,"apr",255,1,-1,0,"unknown","no"
"28610",27,"blue-collar","single","secondary","no",1049,"no","no","telephone",29,"jan",389,3,-1,0,"unknown","no"
"37121",39,"management","divorced","tertiary","no",36,"no","yes","cellular",13,"may",133,1,-1,0,"unknown","no"
"2692",49,"housemaid","divorced","primary","no",198,"yes","no","unknown",13,"may",205,3,-1,0,"unknown","no"
"31991",40,"admin.","married","secondary","no",5087,"yes","no","cellular",13,"apr",455,2,-1,0,"unknown","no"
"41800",38,"technician","married","tertiary","no",127,"yes","no","cellular",14,"oct",113,1,50,2,"success","no"
"22921",42,"management","married","tertiary","no",295,"yes","no","cellular",26,"aug",109,3,-1,0,"unknown","no"
"44596",21,"student","single","primary","no",281,"no","no","unknown",24,"aug",11,1,-1,0,"unknown","no"
"4466",34,"technician","divorced","secondary","no",3997,"yes","no","unknown",20,"may",320,1,-1,0,"unknown","no"
"13647",26,"blue-collar","married","secondary","no",818,"no","no","cellular",9,"jul",226,2,-1,0,"unknown","no"
"40167",41,"unemployed","single","primary","no",216,"no","no","cellular",5,"jun",577,3,-1,0,"unknown","yes"
"10456",47,"retired","divorced","primary","no",2576,"no","no","unknown",12,"jun",188,4,-1,0,"unknown","no"
"3064",42,"admin.","divorced","secondary","no",1811,"yes","no","unknown",14,"may",150,1,-1,0,"unknown","no"
"8314",43,"management","married","unknown","no",498,"yes","no","unknown",2,"jun",73,5,-1,0,"unknown","no"
"5126",31,"management","married","tertiary","no",4924,"yes","no","unknown",21,"may",389,2,-1,0,"unknown","no"
"5506",24,"blue-collar","single","secondary","no",-286,"yes","no","unknown",23,"may",327,2,-1,0,"unknown","no"
"25969",56,"admin.","divorced","secondary","no",-429,"no","yes","cellular",19,"nov",120,2,119,4,"failure","no"
"41453",36,"technician","married","tertiary","no",1354,"no","no","cellular",7,"sep",281,3,97,2,"success","yes"
"8174",34,"unemployed","divorced","tertiary","yes",75,"yes","no","unknown",2,"jun",31,3,-1,0,"unknown","no"
"8946",27,"services","single","secondary","no",1913,"yes","no","unknown",4,"jun",216,2,-1,0,"unknown","no"
"3798",30,"admin.","married","secondary","no",40,"yes","yes","unknown",16,"may",108,2,-1,0,"unknown","no"
"43650",37,"management","married","tertiary","no",2283,"no","no","cellular",6,"may",243,2,98,2,"failure","yes"
"4186",31,"admin.","married","secondary","no",97,"yes","no","unknown",19,"may",607,1,-1,0,"unknown","yes"
"44020",22,"housemaid","single","secondary","no",1796,"no","no","cellular",28,"jun",369,3,-1,0,"unknown","yes"
"41725",60,"retired","married","secondary","no",197,"no","no","cellular",7,"oct",1386,1,-1,0,"unknown","no"
"20317",31,"management","married","secondary","no",0,"no","no","cellular",11,"aug",720,1,-1,0,"unknown","yes"
"41365",38,"blue-collar","married","secondary","no",748,"yes","no","cellular",31,"aug",98,3,-1,0,"unknown","no"
"29203",60,"retired","married","tertiary","no",2557,"yes","no","cellular",2,"feb",415,1,-1,0,"unknown","yes"
"32788",32,"unemployed","single","secondary","no",199,"yes","no","cellular",17,"apr",70,1,336,1,"failure","no"
"31812",26,"admin.","married","secondary","no",3415,"no","no","cellular",8,"apr",209,1,-1,0,"unknown","yes"
"1858",28,"blue-collar","single","secondary","no",7,"yes","yes","unknown",9,"may",125,3,-1,0,"unknown","no"
"25231",36,"blue-collar","married","secondary","no",402,"no","yes","cellular",18,"nov",86,2,154,1,"failure","no"
"3221",42,"unemployed","married","tertiary","no",1270,"yes","no","unknown",15,"may",192,1,-1,0,"unknown","no"
"19061",58,"management","divorced","tertiary","no",1257,"no","no","cellular",5,"aug",1536,1,-1,0,"unknown","yes"
"16637",55,"retired","divorced","secondary","no",-268,"no","yes","cellular",24,"jul",1417,1,-1,0,"unknown","yes"
"417",40,"technician","married","secondary","no",77,"no","no","unknown",6,"may",505,1,-1,0,"unknown","no"
"42178",34,"admin.","married","secondary","no",2374,"yes","no","cellular",9,"nov",161,1,209,2,"failure","yes"
"40276",25,"services","single","secondary","no",505,"no","no","cellular",15,"jun",284,1,-1,0,"unknown","yes"
"1097",59,"housemaid","divorced","unknown","no",873,"yes","no","unknown",7,"may",152,3,-1,0,"unknown","no"
"42565",43,"management","married","tertiary","no",3518,"no","no","cellular",28,"dec",206,2,196,2,"success","yes"
"34328",36,"admin.","single","secondary","no",115,"no","no","cellular",4,"may",134,3,91,1,"failure","no"
"39715",25,"admin.","single","tertiary","no",760,"yes","no","cellular",27,"may",223,3,89,2,"failure","yes"
"25733",40,"blue-collar","single","secondary","no",3,"no","no","cellular",19,"nov",998,1,-1,0,"unknown","yes"
"42494",53,"entrepreneur","married","tertiary","no",1961,"no","no","cellular",15,"dec",351,1,-1,0,"unknown","yes"
"25594",31,"housemaid","single","tertiary","no",287,"yes","no","cellular",19,"nov",182,1,-1,0,"unknown","no"
"38230",35,"blue-collar","married","primary","no",22,"yes","no","cellular",15,"may",1190,2,302,2,"other","yes"
"31189",66,"retired","married","secondary","no",995,"no","no","cellular",27,"feb",131,2,-1,0,"unknown","yes"
"41591",29,"management","single","unknown","no",345,"no","no","cellular",16,"sep",106,1,-1,0,"unknown","no"
"21398",31,"management","single","tertiary","no",11821,"no","no","cellular",18,"aug",384,11,-1,0,"unknown","yes"
"42419",44,"admin.","single","secondary","no",733,"yes","no","cellular",4,"dec",360,2,105,5,"success","yes"
"40129",35,"admin.","divorced","secondary","no",1085,"no","no","cellular",5,"jun",199,1,86,7,"success","yes"
"36916",39,"blue-collar","married","secondary","no",5092,"yes","no","cellular",12,"may",206,2,329,6,"failure","no"
"16899",51,"blue-collar","married","primary","no",1080,"no","yes","cellular",25,"jul",110,1,-1,0,"unknown","no"
"27096",52,"technician","married","secondary","no",230,"yes","yes","cellular",21,"nov",89,4,-1,0,"unknown","no"
"41308",36,"blue-collar","single","secondary","no",40,"yes","no","cellular",27,"aug",259,3,475,4,"success","yes"
"33630",39,"blue-collar","married","unknown","no",621,"yes","no","cellular",20,"apr",1333,5,-1,0,"unknown","yes"
"22306",60,"management","married","tertiary","no",70,"no","no","cellular",21,"aug",36,1,-1,0,"unknown","no"
"33567",33,"blue-collar","married","secondary","no",526,"yes","no","cellular",20,"apr",198,3,-1,0,"unknown","no"
"22688",48,"management","single","tertiary","no",830,"no","no","cellular",25,"aug",961,4,-1,0,"unknown","yes"
"39401",39,"management","single","tertiary","no",0,"yes","no","cellular",22,"may",271,1,93,3,"success","yes"
"43788",52,"management","married","tertiary","no",388,"no","no","cellular",25,"may",272,1,-1,0,"unknown","yes"
"42601",70,"retired","married","primary","no",2795,"no","no","cellular",8,"jan",301,2,-1,0,"unknown","yes"
"20552",47,"management","married","secondary","no",-1854,"yes","yes","cellular",12,"aug",388,2,-1,0,"unknown","no"
"23925",32,"technician","single","secondary","no",1179,"no","no","telephone",29,"aug",116,2,-1,0,"unknown","no"
"40834",39,"admin.","married","secondary","no",260,"yes","no","cellular",11,"aug",175,2,116,2,"failure","yes"
"43308",60,"retired","married","secondary","no",8332,"no","no","cellular",16,"mar",279,1,194,7,"other","yes"
"22424",40,"self-employed","married","secondary","no",0,"no","no","cellular",22,"aug",55,6,-1,0,"unknown","no"
"38801",32,"blue-collar","married","primary","no",-283,"yes","no","cellular",18,"may",24,2,349,2,"other","no"
"33088",40,"technician","married","primary","no",284,"yes","no","cellular",20,"apr",1332,2,-1,0,"unknown","yes"
"23154",38,"technician","married","tertiary","no",-363,"no","no","cellular",26,"aug",101,2,-1,0,"unknown","no"
"22092",40,"management","married","tertiary","no",52527,"no","no","cellular",21,"aug",140,11,-1,0,"unknown","no"
"31179",50,"management","married","unknown","no",8345,"no","no","cellular",27,"feb",194,1,261,1,"failure","yes"
"43684",23,"student","single","unknown","no",2530,"no","no","cellular",12,"may",411,1,-1,0,"unknown","yes"
"32866",34,"management","married","secondary","yes",879,"yes","no","cellular",17,"apr",712,1,344,1,"failure","yes"
"39614",34,"housemaid","married","tertiary","no",0,"no","no","cellular",26,"may",141,1,188,1,"failure","no"
"36614",41,"blue-collar","single","secondary","no",428,"yes","no","cellular",12,"may",92,1,-1,0,"unknown","no"
"42998",28,"blue-collar","married","secondary","no",61,"yes","no","cellular",11,"feb",253,1,174,4,"success","yes"
"15368",51,"entrepreneur","divorced","tertiary","no",23,"yes","no","cellular",18,"jul",177,3,-1,0,"unknown","no"
"43973",25,"student","single","secondary","no",1957,"no","no","cellular",24,"jun",1207,4,385,1,"failure","yes"
"31322",32,"entrepreneur","single","tertiary","no",-34,"yes","no","cellular",11,"mar",101,1,-1,0,"unknown","yes"
"39469",35,"management","single","tertiary","no",2988,"yes","no","cellular",25,"may",179,1,-1,0,"unknown","no"
"6627",26,"management","single","tertiary","no",6840,"yes","no","unknown",28,"may",1560,2,-1,0,"unknown","yes"
"12465",60,"retired","married","primary","no",0,"no","no","unknown",1,"jul",36,1,-1,0,"unknown","no"
"34335",32,"management","single","tertiary","no",0,"no","no","cellular",4,"may",417,2,-1,0,"unknown","no"
"37123",30,"blue-collar","married","secondary","no",975,"yes","no","cellular",13,"may",256,2,351,2,"failure","no"
"33874",59,"retired","married","primary","no",363,"no","no","cellular",30,"apr",400,1,-1,0,"unknown","yes"
"9877",36,"management","married","tertiary","no",669,"no","no","unknown",9,"jun",91,1,-1,0,"unknown","no"
"16491",25,"services","married","secondary","no",72,"yes","no","cellular",23,"jul",305,2,-1,0,"unknown","no"
