"year","age","maritl","race","education","jobclass","wage"
2007,31,"1. Never Married","1. White","3. Some College","2. Information",87.9810327856054
2005,45,"3. Widowed","1. White","2. HS Grad","1. Industrial",118.884359339886
2005,43,"1. Never Married","1. White","4. College Grad","2. Information",100.764272842107
2008,45,"2. Married","1. White","4. College Grad","1. Industrial",120.589436530402
2004,40,"2. Married","1. White","3. Some College","2. Information",193.866878146586
2008,46,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2009,51,"2. Married","1. White","5. Advanced Degree","2. Information",267.901086855275
2006,47,"4. Divorced","1. White","4. College Grad","2. Information",174.402876012275
2004,52,"2. Married","1. White","5. Advanced Degree","2. Information",133.971500070695
2003,31,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2007,40,"2. Married","2. Black","4. College Grad","2. Information",154.68529299563
2009,26,"1. Never Married","1. White","4. College Grad","2. Information",118.884359339886
2004,49,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,38,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2005,50,"2. Married","4. Other","1. < HS Grad","2. Information",111.720849360989
2006,63,"2. Married","1. White","3. Some College","1. Industrial",134.705375118879
2008,35,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2008,29,"1. Never Married","1. White","2. HS Grad","2. Information",118.884359339886
2008,33,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
2007,29,"2. Married","1. White","2. HS Grad","1. Industrial",92.8958447894966
2007,62,"4. Divorced","1. White","4. College Grad","2. Information",NA
2008,45,"2. Married","1. White","5. Advanced Degree","2. Information",124.720446242886
2003,56,"2. Married","1. White","1. < HS Grad","1. Industrial",127.901232979118
2003,58,"2. Married","1. White","1. < HS Grad","1. Industrial",97.4932940453934
2007,39,"2. Married","1. White","5. Advanced Degree","1. Industrial",198.350290464385
2005,49,"2. Married","1. White","3. Some College","1. Industrial",92.8958447894966
2004,24,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
2003,61,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2008,58,"2. Married","1. White","4. College Grad","1. Industrial",79.8549003093467
2009,47,"2. Married","3. Asian","3. Some College","2. Information",118.884359339886
2004,41,"5. Separated","1. White","4. College Grad",NA,NA
2008,71,"2. Married","1. White","1. < HS Grad","2. Information",NA
2006,47,"2. Married","1. White","3. Some College","1. Industrial",150.070476909424
2005,38,"2. Married","1. White","4. College Grad","1. Industrial",176.989650489877
2005,31,"1. Never Married","1. White","4. College Grad","1. Industrial",73.7757432746946
2007,56,"2. Married","3. Asian","4. College Grad","2. Information",125.12381572196
2006,44,"1. Never Married","1. White","4. College Grad","2. Information",277.79948020565
2003,33,"2. Married","1. White","4. College Grad","2. Information",107.903923866876
2005,36,"1. Never Married","1. White","4. College Grad","1. Industrial",60.7397785177603
2006,31,"2. Married","1. White","4. College Grad","2. Information",92.0363233010764
2004,55,"2. Married","1. White","3. Some College","2. Information",109.833985642199
2005,48,"2. Married","1. White","4. College Grad","2. Information",66.9616443217359
2005,50,"2. Married","1. White","3. Some College","2. Information",114.475713290347
2006,42,"2. Married","1. White","4. College Grad","2. Information",170.6951277113
2008,25,"1. Never Married","1. White","3. Some College","2. Information",130.982177377461
2008,55,"2. Married","1. White","2. HS Grad","1. Industrial",127.115743812184
2004,28,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",117.146816914805
2003,30,"2. Married","4. Other","1. < HS Grad","2. Information",123.089699847943
2008,46,"1. Never Married","2. Black","4. College Grad","1. Industrial",120.589436530402
2004,48,"4. Divorced","1. White","5. Advanced Degree","2. Information",NA
2006,42,"4. Divorced","1. White","3. Some College","1. Industrial",81.2832532842527
2008,23,"2. Married","1. White","4. College Grad","1. Industrial",36.6737041960799
2003,60,"2. Married","1. White","5. Advanced Degree","1. Industrial",104.921506533664
2008,34,"2. Married","2. Black","1. < HS Grad","2. Information",74.412963512917
2003,45,"2. Married","1. White","4. College Grad","1. Industrial",129.067820506745
2007,28,"1. Never Married","1. White","3. Some College","1. Industrial",84.1000101164483
2004,33,"2. Married","1. White","5. Advanced Degree","2. Information",185.918662879754
2008,58,"2. Married","1. White","2. HS Grad","2. Information",105.927810775063
2008,47,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
2003,24,"1. Never Married","1. White","3. Some College","1. Industrial",63.1888610037461
2008,56,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
2004,56,"2. Married","1. White","4. College Grad","1. Industrial",120.926701544426
2005,23,"1. Never Married","4. Other","4. College Grad","2. Information",94.0727147457005
2003,56,"2. Married","1. White","5. Advanced Degree","2. Information",132.487821126123
2003,45,"2. Married","1. White","4. College Grad","2. Information",133.232350826567
2009,58,"2. Married","1. White","3. Some College","2. Information",145.143601176911
2007,30,"2. Married","3. Asian","5. Advanced Degree","2. Information",118.884359339886
2009,46,"2. Married","1. White","5. Advanced Degree","1. Industrial",150.330653495766
2004,48,"2. Married","1. White","5. Advanced Degree","1. Industrial",278.964466695847
2006,50,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2008,43,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
2006,37,"2. Married","1. White","1. < HS Grad","1. Industrial",94.0727147457005
2003,49,"4. Divorced","1. White","3. Some College","2. Information",NA
2009,31,"2. Married","3. Asian","4. College Grad","2. Information",166.324941233877
2009,54,"2. Married","3. Asian","2. HS Grad","1. Industrial",NA
2007,52,"2. Married","1. White","4. College Grad","2. Information",139.703071527658
2003,70,"2. Married","1. White","2. HS Grad","1. Industrial",78.3924668009837
2005,30,"2. Married","1. White","5. Advanced Degree","2. Information",141.775856466307
2006,44,"2. Married","1. White","2. HS Grad","1. Industrial",116.265324062503
2003,34,"2. Married","3. Asian","4. College Grad","2. Information",148.413159102577
2007,38,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
2006,28,"5. Separated","1. White","1. < HS Grad","1. Industrial",NA
2005,38,"2. Married","1. White","3. Some College","1. Industrial",141.77517233318
2003,39,"2. Married","1. White","2. HS Grad","1. Industrial",63.0927167348386
2008,52,"1. Never Married","1. White","4. College Grad","2. Information",65.1108537153447
2004,34,"1. Never Married","1. White","4. College Grad","1. Industrial",151.591484239814
2003,33,"2. Married","1. White","4. College Grad","2. Information",123.089699847943
2007,45,"2. Married","1. White","4. College Grad","1. Industrial",118.884359339886
2006,58,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
2003,38,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2007,63,"2. Married","1. White","4. College Grad","1. Industrial",55.5361044177385
2007,38,"2. Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
2007,31,"2. Married","1. White","3. Some College","1. Industrial",NA
2007,53,"2. Married","1. White","4. College Grad","2. Information",193.452606894109
2009,21,"1. Never Married","2. Black","2. HS Grad","2. Information",102.870246933215
2006,38,"2. Married","1. White","4. College Grad","2. Information",164.646988930328
2004,18,"1. Never Married","1. White","1. < HS Grad","1. Industrial",NA
2008,28,"1. Never Married","1. White","3. Some College","1. Industrial",99.6894636984864
2003,33,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2004,32,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
2009,29,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2005,28,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
2005,42,"2. Married","1. White","5. Advanced Degree","2. Information",116.943081320617
2007,28,"3. Widowed","1. White","1. < HS Grad","2. Information",54.5981500331442
2009,36,"2. Married","1. White","5. Advanced Degree","2. Information",138.299126920883
2007,47,"2. Married","1. White","2. HS Grad","2. Information",NA
2007,53,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
2003,48,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
2006,36,"2. Married","1. White","5. Advanced Degree","1. Industrial",179.214858036271
2007,55,"2. Married","1. White","3. Some College","2. Information",126.323880709786
2008,37,"2. Married","1. White","1. < HS Grad","1. Industrial",70.4760196469445
2009,68,"2. Married","1. White","4. College Grad","2. Information",118.019753340006
2003,65,"2. Married","4. Other","2. HS Grad","1. Industrial",71.3196387942183
2007,37,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2007,33,"2. Married","1. White","4. College Grad","2. Information",138.299126920883
2003,19,"1. Never Married","1. White","2. HS Grad","2. Information",54.5981500331442
2004,50,"2. Married","1. White","4. College Grad","2. Information",94.0727147457005
2004,22,"1. Never Married","1. White","3. Some College","1. Industrial",80.4302079458208
2004,40,"2. Married","1. White","3. Some College","2. Information",89.2428846644714
2008,45,"2. Married","1. White","3. Some College","1. Industrial",117.146816914805
2009,36,"2. Married","1. White","5. Advanced Degree","1. Industrial",127.115743812184
2005,37,"2. Married","3. Asian","1. < HS Grad","1. Industrial",81.2832532842527
2003,24,"1. Never Married","1. White","2. HS Grad","1. Industrial",52.4070640482002
2007,66,"2. Married","2. Black","1. < HS Grad","2. Information",99.6894636984864
2004,35,"2. Married","3. Asian","1. < HS Grad","1. Industrial",63.1888610037461
2009,33,"1. Never Married","1. White","4. College Grad","2. Information",196.125272594255
2005,44,"2. Married","1. White","3. Some College","1. Industrial",101.82435207568
2004,48,"1. Never Married","1. White","3. Some College","2. Information",107.903923866876
2009,47,"2. Married","1. White","2. HS Grad","2. Information",51.2396549228382
2004,41,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
2005,55,"2. Married","1. White","4. College Grad","2. Information",63.1888610037461
2008,74,"4. Divorced","2. Black","5. Advanced Degree","2. Information",148.413159102577
2007,33,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
2003,62,"2. Married","1. White","5. Advanced Degree","2. Information",130.982177377461
2004,56,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2006,29,"1. Never Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
2009,56,"1. Never Married","2. Black","1. < HS Grad","2. Information",NA
2009,47,"2. Married","2. Black","5. Advanced Degree","2. Information",160.642475408263
2005,45,"2. Married","1. White","2. HS Grad","2. Information",134.705375118879
2007,44,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
2004,25,"1. Never Married","1. White","4. College Grad","2. Information",91.6992261117042
2005,45,"4. Divorced","2. Black","3. Some College","2. Information",NA
2005,40,"2. Married","1. White","4. College Grad","2. Information",136.15771083723
2003,56,"2. Married","1. White","2. HS Grad","2. Information",134.705375118879
2005,56,"2. Married","3. Asian","3. Some College","2. Information",81.9853178344996
2003,47,"2. Married","3. Asian","4. College Grad","1. Industrial",176.989650489877
2007,39,"2. Married","1. White","2. HS Grad","1. Industrial",118.886080351034
2005,38,"2. Married","1. White","3. Some College","2. Information",121.262745732618
2009,48,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,44,"2. Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
2003,42,"2. Married","1. White","5. Advanced Degree","2. Information",123.908567597957
2009,55,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2006,61,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",82.6796372966372
2006,39,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
2005,30,"2. Married","2. Black","3. Some College","1. Industrial",104.921506533664
2009,49,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2006,33,"2. Married","1. White","4. College Grad","2. Information",136.15771083723
2006,31,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2005,35,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",NA
2003,55,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
2008,36,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
2003,37,"2. Married","1. White","2. HS Grad","1. Industrial",118.019753340006
2006,33,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,48,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2004,47,"2. Married","3. Asian","3. Some College","1. Industrial",118.884359339886
2003,60,"2. Married","1. White","3. Some College","2. Information",123.089699847943
2004,28,"1. Never Married","1. White","4. College Grad","2. Information",109.833985642199
2005,28,"2. Married","1. White","3. Some College","2. Information",102.870246933215
2005,48,"2. Married","1. White","4. College Grad","2. Information",163.515863976238
2009,29,"2. Married","1. White","5. Advanced Degree","2. Information",117.146816914805
2004,40,"1. Never Married","1. White","2. HS Grad","1. Industrial",92.3000614282589
2009,32,"1. Never Married","1. White","5. Advanced Degree","2. Information",100.013486924706
2004,33,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2003,40,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2004,42,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
2003,36,"2. Married","1. White","2. HS Grad","1. Industrial",115.375038556391
2004,39,"2. Married","2. Black","1. < HS Grad","1. Industrial",73.7757432746946
2009,44,"2. Married","1. White","5. Advanced Degree","2. Information",267.901086855275
2009,43,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2008,44,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2006,29,NA,"3. Asian","5. Advanced Degree","2. Information",87.9810327856054
2007,49,"2. Married","2. Black","3. Some College","2. Information",104.921506533664
2007,47,"2. Married","2. Black","3. Some College","2. Information",130.982177377461
2004,46,"2. Married","3. Asian","5. Advanced Degree","2. Information",190.547678564741
2006,41,"4. Divorced","1. White","1. < HS Grad","1. Industrial",NA
2008,52,"2. Married","1. White","2. HS Grad","2. Information",79.8549003093467
2003,43,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2004,38,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
2003,42,"2. Married","1. White","3. Some College","2. Information",74.4446382014083
2005,56,"2. Married","2. Black","4. College Grad","1. Industrial",118.884359339886
2003,39,"2. Married","1. White","2. HS Grad","1. Industrial",128.680488220624
2005,29,"2. Married","2. Black","3. Some College","2. Information",87.9810327856054
2009,33,"2. Married","1. White","5. Advanced Degree","2. Information",267.901086855275
2004,33,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,41,"2. Married","1. White","2. HS Grad","2. Information",92.8958447894966
2004,44,"1. Never Married","2. Black","1. < HS Grad","2. Information",70.4760196469445
2005,45,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
2004,58,"2. Married","1. White","2. HS Grad","2. Information",102.870246933215
2005,29,"2. Married","1. White","3. Some College","1. Industrial",102.870246933215
2004,42,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2008,68,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2005,47,"2. Married","1. White","5. Advanced Degree","2. Information",127.115743812184
2005,30,"2. Married","2. Black","4. College Grad","2. Information",94.0727147457005
2005,39,"2. Married","1. White","1. < HS Grad","2. Information",NA
2008,42,"2. Married","1. White","4. College Grad","1. Industrial",125.525498433836
2006,49,"2. Married","1. White","3. Some College","1. Industrial",165.208773767255
2009,36,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
2003,44,"2. Married","3. Asian","2. HS Grad","2. Information",112.6488963421
2009,54,"2. Married","1. White","2. HS Grad","2. Information",76.8936025176112
2003,42,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
2003,39,"2. Married","1. White","4. College Grad","1. Industrial",128.680488220624
2008,30,"2. Married","3. Asian","2. HS Grad","2. Information",59.0970640815891
2004,33,"1. Never Married","2. Black","2. HS Grad","2. Information",63.7733911962488
2003,28,"2. Married","1. White","2. HS Grad","2. Information",84.0459576539924
2003,38,"2. Married","1. White","2. HS Grad","1. Industrial",93.9371815810521
2005,30,"2. Married","4. Other","3. Some College","1. Industrial",82.6796372966372
2008,25,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
2007,52,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
2007,26,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,54,"2. Married","1. White","4. College Grad","1. Industrial",166.324941233877
2005,62,"2. Married","1. White","4. College Grad","2. Information",99.6894636984864
2009,57,"2. Married","3. Asian","5. Advanced Degree","2. Information",141.77517233318
2003,32,"2. Married","1. White","4. College Grad","1. Industrial",143.134940811134
2003,60,"2. Married","1. White","2. HS Grad","1. Industrial",35.0334213214995
2004,40,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
2005,49,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,54,"2. Married","1. White","4. College Grad","1. Industrial",132.487821126123
2009,48,"1. Never Married","1. White","5. Advanced Degree","2. Information",148.413159102577
2009,35,"1. Never Married","1. White","1. < HS Grad",NA,NA
2009,46,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2007,42,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
2004,58,"2. Married","1. White","4. College Grad","2. Information",272.294783220064
2003,30,"1. Never Married","1. White","4. College Grad","2. Information",200.543262324662
2008,27,"1. Never Married","1. White","2. HS Grad","1. Industrial",85.3865890236244
2008,55,"2. Married","1. White","1. < HS Grad","1. Industrial",109.833985642199
2004,50,"2. Married","1. White","2. HS Grad","1. Industrial",61.0524210501246
2006,55,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2006,40,"2. Married","1. White","3. Some College","1. Industrial",145.805163374625
2005,32,"2. Married","1. White","2. HS Grad","2. Information",112.6488963421
2006,27,"2. Married","1. White","2. HS Grad","1. Industrial",106.921814091211
2007,49,"2. Married","1. White","3. Some College","2. Information",106.921814091211
2007,50,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
2006,50,"2. Married","1. White","1. < HS Grad","1. Industrial",87.9810327856054
2008,44,"2. Married","1. White","5. Advanced Degree","2. Information",144.47808766541
2007,57,"2. Married","3. Asian","5. Advanced Degree","2. Information",160.409701962289
2008,72,"2. Married","2. Black","5. Advanced Degree","1. Industrial",87.9810327856054
2006,23,"1. Never Married","1. White","1. < HS Grad","1. Industrial",65.1108537153447
2007,31,"1. Never Married","1. White","5. Advanced Degree","2. Information",176.989650489877
2008,36,"2. Married","1. White","2. HS Grad","2. Information",54.5981500331442
2009,63,"2. Married","2. Black","3. Some College","1. Industrial",109.833985642199
2006,48,"2. Married","1. White","1. < HS Grad","1. Industrial",81.698421724729
2005,46,"2. Married","1. White","4. College Grad","1. Industrial",114.475713290347
2003,55,"2. Married","1. White","4. College Grad","1. Industrial",142.634472767972
2007,44,"2. Married","1. White","5. Advanced Degree","2. Information",160.642475408263
2006,44,"2. Married","1. White","3. Some College","1. Industrial",94.0727147457005
2004,32,"2. Married","4. Other","1. < HS Grad","1. Industrial",NA
2003,60,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2004,42,"2. Married","1. White","5. Advanced Degree","2. Information",160.642475408263
2009,48,"2. Married","2. Black","5. Advanced Degree","2. Information",148.413159102577
2008,36,"2. Married","1. White","1. < HS Grad","1. Industrial",87.9823064294987
2009,31,"2. Married","1. White","2. HS Grad","1. Industrial",101.82435207568
2006,54,"2. Married","1. White","2. HS Grad","2. Information",111.720849360989
2007,29,"2. Married","1. White","3. Some College","1. Industrial",106.921814091211
2003,46,"4. Divorced","1. White","3. Some College","1. Industrial",126.323880709786
2003,35,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2009,50,"2. Married","1. White","1. < HS Grad","2. Information",NA
2005,25,"2. Married","1. White","3. Some College","1. Industrial",54.5981500331442
2005,33,"1. Never Married","1. White","3. Some College","2. Information",96.3706528322308
2008,34,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,51,"2. Married","2. Black","2. HS Grad","1. Industrial",94.0727147457005
2004,33,"2. Married","1. White","2. HS Grad","1. Industrial",95.2307125669819
2007,59,"2. Married","1. White","3. Some College","2. Information",139.00340805947
2006,62,"5. Separated","2. Black","1. < HS Grad","1. Industrial",NA
2005,28,"5. Separated","1. White","2. HS Grad","1. Industrial",NA
2008,40,"2. Married","1. White","3. Some College","2. Information",87.9810327856054
2003,52,"2. Married","1. White","5. Advanced Degree","1. Industrial",138.299126920883
2007,29,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2007,34,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2004,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",54.5981500331442
2005,66,"2. Married","1. White","4. College Grad","1. Industrial",94.0727147457005
2005,43,"2. Married","1. White","2. HS Grad","2. Information",68.7480877337669
2007,45,"2. Married","2. Black",NA,"2. Information",92.8958447894966
2006,35,"2. Married","1. White","5. Advanced Degree","2. Information",114.475713290347
2005,43,"2. Married","1. White","2. HS Grad","2. Information",109.833985642199
2007,49,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
2004,60,"1. Never Married","2. Black","1. < HS Grad","2. Information",77.0452008528242
2003,46,"2. Married","1. White","2. HS Grad","2. Information",NA
2009,55,"2. Married","1. White","2. HS Grad","1. Industrial",101.82435207568
2006,32,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2007,53,"2. Married","1. White","2. HS Grad","1. Industrial",133.232350826567
2009,57,"2. Married","1. White","4. College Grad","2. Information",157.10350432345
2007,51,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
2004,59,"2. Married",NA,"5. Advanced Degree","2. Information",182.020620963512
2006,45,"2. Married","1. White","3. Some College","2. Information",119.09923477134
2006,56,"1. Never Married","1. White","2. HS Grad","1. Industrial",71.6867436659172
2005,30,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
2006,21,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2003,60,"2. Married","1. White","4. College Grad","1. Industrial",138.299126920883
2007,60,"2. Married","1. White","2. HS Grad","2. Information",101.82435207568
2007,48,"4. Divorced","1. White","1. < HS Grad","1. Industrial",NA
2003,39,"4. Divorced","1. White","4. College Grad","2. Information",NA
2009,32,"1. Never Married","1. White","3. Some College","2. Information",115.375038556391
2007,51,"2. Married","2. Black","5. Advanced Degree","2. Information",191.573683548412
2006,47,"2. Married","1. White","4. College Grad","1. Industrial",86.6951548289402
2007,44,"2. Married","1. White","2. HS Grad","2. Information",NA
2008,46,"2. Married","1. White","2. HS Grad","1. Industrial",166.324941233877
2004,28,"1. Never Married","1. White","4. College Grad","1. Industrial",56.9055391446732
2003,24,"1. Never Married","1. White","4. College Grad","2. Information",99.6894636984864
2006,37,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,31,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,72,"2. Married","1. White","2. HS Grad","2. Information",92.8958447894966
2008,50,"2. Married","1. White","3. Some College","1. Industrial",101.82435207568
2007,36,"2. Married","1. White","3. Some College","1. Industrial",145.143601176911
2006,27,NA,"2. Black","2. HS Grad","1. Industrial",NA
2009,27,"2. Married","1. White","3. Some College","1. Industrial",90.4819133566401
2004,41,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
2008,20,"1. Never Married","1. White","3. Some College","2. Information",82.6796372966372
2008,49,"2. Married","2. Black","2. HS Grad","1. Industrial",NA
2007,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2006,41,"2. Married","3. Asian","1. < HS Grad","1. Industrial",NA
2009,53,"1. Never Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
2009,45,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
2003,32,"2. Married","1. White",NA,"1. Industrial",66.9616443217359
2005,47,"2. Married","1. White","3. Some College","2. Information",148.413159102577
2003,26,"2. Married","1. White","2. HS Grad","1. Industrial",123.089699847943
2009,31,"2. Married","2. Black","3. Some College","2. Information",133.232350826567
2007,32,"2. Married","3. Asian","5. Advanced Degree","2. Information",118.884359339886
2006,50,"4. Divorced","1. White","5. Advanced Degree","2. Information",NA
2007,46,"2. Married","1. White","2. HS Grad","1. Industrial",115.375038556391
2006,47,"2. Married","1. White","5. Advanced Degree","2. Information",112.6488963421
2005,55,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2005,49,"2. Married","1. White","4. College Grad","1. Industrial",148.413159102577
2004,25,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2008,60,"2. Married","1. White","2. HS Grad","2. Information",95.6888119067371
2008,62,"2. Married","1. White","2. HS Grad","1. Industrial",89.2428846644714
2003,63,"5. Separated","2. Black","2. HS Grad","2. Information",NA
2004,31,"1. Never Married","1. White","5. Advanced Degree","2. Information",128.680488220624
2006,29,"2. Married","1. White","4. College Grad","1. Industrial",109.833985642199
2008,51,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2007,28,"2. Married","3. Asian","2. HS Grad","1. Industrial",NA
2005,36,"1. Never Married","1. White","3. Some College","2. Information",123.089699847943
2007,28,"1. Never Married","1. White","3. Some College","2. Information",99.6894636984864
2004,38,"2. Married","1. White","4. College Grad","2. Information",102.870246933215
2008,35,"2. Married","1. White","3. Some College","1. Industrial",96.3706528322308
2005,46,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2007,37,"2. Married","1. White","3. Some College","2. Information",90.4819133566401
2005,41,"4. Divorced","2. Black","3. Some College","2. Information",104.921506533664
2006,59,"2. Married","2. Black","3. Some College","1. Industrial",73.7757432746946
2006,51,"2. Married","1. White","3. Some College","1. Industrial",107.903923866876
2006,26,"1. Never Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
2003,34,NA,"2. Black","3. Some College","1. Industrial",60.1541246622441
2004,32,"2. Married","1. White","2. HS Grad","2. Information",123.089699847943
2007,23,"1. Never Married","1. White","3. Some College","1. Industrial",81.2832532842527
2004,50,"2. Married","1. White","2. HS Grad","2. Information",143.134940811134
2009,25,"1. Never Married","1. White","1. < HS Grad","1. Industrial",69.0981838087226
2004,43,"2. Married","1. White","2. HS Grad","1. Industrial",78.9816745162994
2009,36,"2. Married","2. Black","3. Some College","1. Industrial",128.680488220624
2006,50,"2. Married","1. White","2. HS Grad","2. Information",54.5981500331442
2006,34,"5. Separated","2. Black","2. HS Grad","2. Information",134.705375118879
2005,34,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2005,55,"2. Married","3. Asian","5. Advanced Degree","2. Information",277.601417511009
2003,39,"2. Married","2. Black","2. HS Grad","1. Industrial",NA
2004,40,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
2005,32,"2. Married","1. White","3. Some College","2. Information",NA
2006,63,"2. Married","1. White","2. HS Grad","2. Information",118.884359339886
2004,38,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2008,67,"2. Married","3. Asian","2. HS Grad","1. Industrial",59.0970640815891
2005,39,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,31,"2. Married","3. Asian","2. HS Grad","1. Industrial",61.1875264339915
2006,41,"1. Never Married","1. White","3. Some College","2. Information",114.475713290347
2003,47,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2009,61,"2. Married","1. White","2. HS Grad","1. Industrial",122.263673892802
2005,61,"2. Married","1. White","5. Advanced Degree","1. Industrial",148.413159102577
2008,21,"2. Married","4. Other","2. HS Grad","1. Industrial",NA
2004,22,"1. Never Married","1. White","4. College Grad","1. Industrial",66.0446942318056
2003,53,"2. Married","1. White","4. College Grad","1. Industrial",126.957885677185
2004,47,"2. Married","1. White","4. College Grad","1. Industrial",81.2832532842527
2005,36,"2. Married","1. White","3. Some College","1. Industrial",NA
2007,36,"1. Never Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
2005,42,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,54,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2004,27,"2. Married","1. White","3. Some College","1. Industrial",87.9810327856054
2004,36,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,35,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
2003,60,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,42,"5. Separated","1. White","2. HS Grad","1. Industrial",NA
2008,41,"2. Married","2. Black","5. Advanced Degree","2. Information",123.089699847943
